,RAZON SOCIAL,FECHA,PAIS ORIGEN,VIA TRANSPORTE,PAIS DESTINO,FOB U$S,FLETE U$S,TOTAL KGS NETO
1214,SOLVESA ECUADOR S.A,2017-09-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,75140.0,7800.0,377000.0
1215,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-10-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,290742.0,28200.0,1363000.0
1216,ROGEL JIMENEZ JAIME ENRIQUE,2017-10-26,RUSSIAN FEDERATION,CARRETERA,ECUADOR,4950.0,472.03,64000.0
1217,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2017-10-07,RUSSIAN FEDERATION,MARITIMO,ECUADOR,555984.0,124200.0,2700000.0
1218,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-09-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,189757.2,18755.0,917600.0
1219,AGRIPAC S.A.,2017-10-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,424154.88,59125.17,1516030.0
1220,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-10-02,RUSSIAN FEDERATION,MARITIMO,ECUADOR,494845.31,88620.87,2272330.0
1221,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-10-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,117534.0,11400.0,551000.0
1222,FERMAGRI S.A.,2017-09-25,RUSSIAN FEDERATION,MARITIMO,ECUADOR,216540.0,22680.0,1080000.0
1223,SOLVESA ECUADOR S.A,2017-10-09,RUSSIAN FEDERATION,MARITIMO,ECUADOR,68572.0,8532.0,316000.0
1224,ROGEL JIMENEZ JAIME ENRIQUE,2017-11-06,RUSSIAN FEDERATION,CARRETERA,ECUADOR,7260.0,575.58,32000.0
1225,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-10-16,RUSSIAN FEDERATION,MARITIMO,ECUADOR,67964.1,6600.0,318650.0
1226,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-10-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,97280.0,11280.0,480000.0
1227,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-10-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,336440.0,36660.0,1560000.0
1228,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-10-14,RUSSIAN FEDERATION,MARITIMO,ECUADOR,109440.0,12690.0,540000.0
1229,INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC,2017-10-22,RUSSIAN FEDERATION,MARITIMO,ECUADOR,173002.75,11403.65,547200.0
1230,AGRIPAC S.A.,2017-10-29,RUSSIAN FEDERATION,MARITIMO,ECUADOR,456595.0,37365.0,1590000.0
1231,VALDIVIESO RAMIREZ DALTON IVANOV,2017-11-23,RUSSIAN FEDERATION,CARRETERA,ECUADOR,28980.0,2700.0,96000.0
1232,AGRIPAC S.A.,2017-10-31,RUSSIAN FEDERATION,MARITIMO,ECUADOR,482440.0,39480.0,1680000.0
1233,LABOMERSA S.A,2017-11-29,GERMANY,AEREA,ECUADOR,57.71,2.16,130.04
1234,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2017-11-19,RUSSIAN FEDERATION,MARITIMO,ECUADOR,389188.81,86940.0,1890000.0
1235,LABOMERSA S.A,2017-12-04,GERMANY,AEREA,ECUADOR,57.41,8.24,1015.64
1236,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,170268.0,14805.0,1243200.0
1237,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,170268.0,14805.0,1724185.5015576323
1238,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-12-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,567530.44,88040.4,2201010.0
1239,DIAZ DIAZ YLVIA DE JESUS,2017-12-13,RUSSIAN FEDERATION,CARRETERA,ECUADOR,20728.0,1800.0,64000.0
1240,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,454261.5,34200.0,3277000.0
1241,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-20,RUSSIAN FEDERATION,MARITIMO,ECUADOR,446292.0,33600.0,1724185.5015576323
1242,FERMAGRI S.A.,2017-11-19,RUSSIAN FEDERATION,MARITIMO,ECUADOR,250848.0,27460.0,928000.0
1243,AGRIPAC S.A.,2017-11-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,2576666.0,396181.59,9904540.0
1244,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-21,RUSSIAN FEDERATION,MARITIMO,ECUADOR,1145185.5,176080.8,4402020.0
1245,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,81080.0,7050.0,562400.0
1246,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-13,RUSSIAN FEDERATION,MARITIMO,ECUADOR,72972.0,6345.0,1724185.5015576323
1247,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-23,RUSSIAN FEDERATION,MARITIMO,ECUADOR,606496.0,88000.0,2200000.0
1248,DELCORP S.A.,2017-11-23,LITHUANIA,MARITIMO,ECUADOR,107959.59,16270.0,3300000.0
1249,DELCORP S.A.,2017-11-23,LITHUANIA,MARITIMO,ECUADOR,108126.35,16270.0,2364611.6810344825
1250,DELCORP S.A.,2017-11-23,LITHUANIA,MARITIMO,ECUADOR,108297.19,16270.0,2364611.6810344825
1251,DELCORP S.A.,2017-11-23,LITHUANIA,MARITIMO,ECUADOR,108463.96,16270.0,2364611.6810344825
1252,DELCORP S.A.,2017-11-23,LITHUANIA,MARITIMO,ECUADOR,461212.62,66920.0,2364611.6810344825
1253,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,2017-11-26,RUSSIAN FEDERATION,MARITIMO,ECUADOR,346899.0,25200.0,1218000.0
1254,FERMAGRI S.A.,2017-11-27,RUSSIAN FEDERATION,MARITIMO,ECUADOR,250848.0,27460.0,928000.0
1255,SOLVESA ECUADOR S.A,2017-11-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,72600.0,8460.0,360000.0
1256,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2017-12-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,486331.56,83214.0,1809000.0
1257,"FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.",2017-12-03,RUSSIAN FEDERATION,MARITIMO,ECUADOR,421817.75,72036.0,1566000.0
1258,VALDIVIESO RAMIREZ DALTON IVANOV,2017-12-26,RUSSIAN FEDERATION,CARRETERA,ECUADOR,19320.0,1800.0,64000.0
1259,ROGEL JIMENEZ JAIME ENRIQUE,2017-12-26,RUSSIAN FEDERATION,CARRETERA,ECUADOR,8150.0,730.72,64000.0
1260,QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.,2017-11-11,RUSSIAN FEDERATION,MARITIMO,ECUADOR,91200.0,10575.0,450000.0
