"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2018","306.00","306.00","306.00","306.00","","0.49%"
"09/10/2018","304.50","304.50","304.50","304.50","","0.00%"
"09/07/2018","304.50","304.50","304.50","304.50","","0.00%"
"09/06/2018","304.50","304.50","304.50","304.50","","0.33%"
"09/05/2018","303.50","303.50","303.50","303.50","","0.00%"
"09/04/2018","303.50","303.50","303.50","303.50","","0.50%"
"08/31/2018","302.00","302.00","302.00","302.00","0.05K","4.68%"
"08/30/2018","288.50","288.50","288.50","288.50","","1.23%"
"08/29/2018","285.00","285.00","285.00","285.00","","0.18%"
"08/28/2018","284.50","284.50","284.50","284.50","","0.00%"
"08/27/2018","284.50","284.50","284.50","284.50","","0.00%"
"08/24/2018","284.50","284.50","284.50","284.50","","0.53%"
"08/23/2018","283.00","283.00","283.00","283.00","","-0.18%"
"08/22/2018","283.50","283.50","283.50","283.50","","-0.35%"
"08/21/2018","284.50","284.50","284.50","284.50","","0.00%"
"08/20/2018","284.50","284.50","284.50","284.50","","0.00%"
"08/17/2018","284.50","284.50","284.50","284.50","","-0.18%"
"08/16/2018","285.00","285.00","285.00","285.00","","0.00%"
"08/15/2018","285.00","285.00","285.00","285.00","","0.00%"
"08/14/2018","285.00","285.00","285.00","285.00","","0.00%"
"08/13/2018","285.00","285.00","285.00","285.00","","0.00%"
"08/10/2018","285.00","285.00","285.00","285.00","","1.42%"
"08/09/2018","281.00","281.00","281.00","281.00","","-0.18%"
"08/08/2018","281.50","281.50","281.50","281.50","","0.90%"
"08/07/2018","279.00","279.00","279.00","279.00","","1.27%"
"08/06/2018","275.50","275.50","275.50","275.50","","-0.18%"
"08/03/2018","276.00","276.00","276.00","276.00","","1.10%"
"08/02/2018","273.00","273.00","273.00","273.00","","-0.36%"
"08/01/2018","274.00","274.00","274.00","274.00","","-1.26%"
"07/31/2018","277.50","277.50","277.50","277.50","","-0.89%"
"07/30/2018","280.00","280.00","280.00","280.00","","0.00%"
"07/27/2018","280.00","280.00","280.00","280.00","","2.56%"
"07/26/2018","273.00","273.00","273.00","273.00","","0.00%"
"07/25/2018","273.00","273.00","273.00","273.00","","0.00%"
"07/24/2018","273.00","273.00","273.00","273.00","","0.00%"
"07/23/2018","273.00","273.00","273.00","273.00","","0.00%"
"07/20/2018","273.00","273.00","273.00","273.00","","-1.44%"
"07/19/2018","277.00","277.00","277.00","277.00","","0.00%"
"07/18/2018","277.00","277.00","277.00","277.00","","-0.18%"
"07/17/2018","277.50","277.50","277.50","277.50","","0.00%"
"07/16/2018","277.50","277.50","277.50","277.50","","0.00%"
"07/13/2018","277.50","277.50","277.50","277.50","","0.00%"
"07/12/2018","277.50","277.50","277.50","277.50","","0.18%"
"07/11/2018","277.00","277.00","277.00","277.00","","-0.36%"
"07/10/2018","278.00","278.00","278.00","278.00","","-0.36%"
"07/09/2018","279.00","279.00","279.00","279.00","","-0.18%"
"07/06/2018","279.50","279.50","279.50","279.50","","0.00%"
"07/05/2018","279.50","279.50","279.50","279.50","","0.18%"
"07/03/2018","279.00","279.00","279.00","279.00","","-0.36%"
"07/02/2018","280.00","280.00","280.00","280.00","","0.00%"
"06/29/2018","280.00","280.00","280.00","280.00","","6.77%"
"06/28/2018","262.25","262.25","262.25","262.25","","2.64%"
"06/27/2018","255.50","255.50","255.50","255.50","","0.00%"
"06/26/2018","255.50","255.50","255.50","255.50","","0.00%"
"06/25/2018","255.50","255.50","255.50","255.50","","0.00%"
"06/22/2018","255.50","255.50","255.50","255.50","","1.49%"
"06/21/2018","251.75","251.75","251.75","251.75","","0.00%"
"06/20/2018","251.75","251.75","251.75","251.75","","0.00%"
"06/19/2018","251.75","251.75","251.75","251.75","","0.00%"
"06/18/2018","251.75","251.75","251.75","251.75","","0.00%"
"06/15/2018","251.75","251.75","251.75","251.75","","-0.69%"
"06/14/2018","253.50","253.50","253.50","253.50","","0.00%"
"06/13/2018","253.50","253.50","253.50","253.50","","0.00%"
"06/12/2018","253.50","253.50","253.50","253.50","","0.20%"
"06/11/2018","253.00","253.00","253.00","253.00","","0.40%"
"06/08/2018","252.00","252.00","252.00","252.00","","0.40%"
"06/07/2018","251.00","251.00","251.00","251.00","0.10K","0.00%"
"06/06/2018","251.00","251.00","251.00","251.00","","-1.76%"
"06/05/2018","255.50","255.50","255.50","255.50","","0.99%"
"06/04/2018","253.00","253.00","253.00","253.00","","0.00%"
"06/01/2018","253.00","253.00","253.00","253.00","","7.32%"
"05/31/2018","235.75","235.75","235.75","235.75","","0.32%"
"05/30/2018","235.00","235.00","235.00","235.00","","0.00%"
"05/29/2018","235.00","235.00","235.00","235.00","","0.00%"
"05/25/2018","235.00","235.00","235.00","235.00","","0.43%"
"05/24/2018","234.00","234.00","234.00","234.00","","0.00%"
"05/23/2018","234.00","234.00","234.00","234.00","","0.86%"
"05/22/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/21/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/18/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/17/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/16/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/15/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/14/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/11/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/10/2018","232.00","232.00","232.00","232.00","","0.00%"
"05/09/2018","232.00","232.00","232.00","232.00","","-0.43%"
"05/08/2018","233.00","233.00","233.00","233.00","","0.00%"
"05/07/2018","233.00","233.00","233.00","233.00","","0.00%"
"05/04/2018","233.00","233.00","233.00","233.00","","0.00%"
"05/03/2018","233.00","233.00","233.00","233.00","","-0.21%"
"05/02/2018","233.50","233.50","233.50","233.50","","0.21%"
"05/01/2018","233.00","233.00","233.00","233.00","","0.22%"
"04/30/2018","232.50","232.50","232.50","232.50","","-0.43%"
"04/27/2018","233.50","233.50","233.50","233.50","","-4.50%"
"04/26/2018","244.50","244.50","244.50","244.50","","0.93%"
"04/25/2018","242.25","242.25","242.25","242.25","","0.00%"
"04/24/2018","242.25","242.25","242.25","242.25","","0.00%"
"04/23/2018","242.25","242.25","242.25","242.25","","0.00%"
"04/20/2018","242.25","242.25","242.25","242.25","","0.10%"
"04/19/2018","242.00","242.00","242.00","242.00","","0.00%"
"04/18/2018","242.00","242.00","242.00","242.00","","0.00%"
"04/17/2018","242.00","242.00","242.00","242.00","","0.00%"
"04/16/2018","242.00","242.00","242.00","242.00","","0.00%"
"04/13/2018","242.00","242.00","242.00","242.00","","1.26%"
"04/12/2018","239.00","239.00","239.00","239.00","","0.21%"
"04/11/2018","238.50","238.50","238.50","238.50","","0.63%"
"04/10/2018","237.00","237.00","237.00","237.00","","0.42%"
"04/09/2018","236.00","236.00","236.00","236.00","","0.00%"
"04/06/2018","236.00","236.00","236.00","236.00","","-1.26%"
"04/05/2018","239.00","239.00","239.00","239.00","0.05K","-0.42%"
"04/04/2018","240.00","240.00","240.00","240.00","0.10K","0.00%"
"04/03/2018","240.00","240.00","240.00","240.00","","0.63%"
"04/02/2018","238.50","238.50","238.50","238.50","","-6.74%"
"03/29/2018","255.75","255.75","255.75","255.75","","-0.10%"
"03/28/2018","256.00","256.00","256.00","256.00","","0.00%"
"03/27/2018","256.00","256.00","256.00","256.00","","0.00%"
"03/26/2018","256.00","256.00","256.00","256.00","","0.00%"
"03/23/2018","256.00","256.00","256.00","256.00","","-0.58%"
"03/22/2018","257.50","257.50","257.50","257.50","","0.00%"
"03/21/2018","257.50","257.50","257.50","257.50","","0.00%"
"03/20/2018","257.50","257.50","257.50","257.50","","0.00%"
"03/19/2018","257.50","257.50","257.50","257.50","","0.00%"
"03/16/2018","257.50","257.50","257.50","257.50","","0.98%"
"03/15/2018","255.00","255.00","255.00","255.00","","0.00%"
"03/14/2018","255.00","255.00","255.00","255.00","","0.20%"
"03/13/2018","254.50","254.50","254.50","254.50","","-0.59%"
"03/12/2018","256.00","256.00","256.00","256.00","","0.00%"
"03/09/2018","256.00","256.00","256.00","256.00","","0.79%"
"03/08/2018","254.00","254.00","254.00","254.00","0.05K","-1.55%"
"03/07/2018","258.00","258.00","258.00","258.00","","-0.39%"
"03/06/2018","259.00","259.00","259.00","259.00","","-0.19%"
"03/05/2018","259.50","259.50","259.50","259.50","","-0.19%"
"03/02/2018","260.00","260.00","260.00","260.00","","-1.70%"
"03/01/2018","264.50","264.50","264.50","264.50","","-0.19%"
"02/28/2018","265.00","265.00","265.00","265.00","","-0.56%"
"02/27/2018","266.50","266.50","266.50","266.50","","1.14%"
"02/26/2018","263.50","263.50","263.50","263.50","0.10K","-0.38%"
"02/23/2018","264.50","264.50","264.50","264.50","","0.90%"
"02/22/2018","262.13","262.13","262.13","262.13","","0.63%"
"02/21/2018","260.50","260.50","260.50","260.50","","0.00%"
"02/20/2018","260.50","260.50","260.50","260.50","","0.00%"
"02/16/2018","260.50","260.50","260.50","260.50","","0.19%"
"02/15/2018","260.00","260.00","260.00","260.00","","0.00%"
"02/14/2018","260.00","260.00","260.00","260.00","","0.00%"
"02/13/2018","260.00","260.00","260.00","260.00","","0.00%"
"02/12/2018","260.00","260.00","260.00","260.00","","0.00%"
